,yearmon,fatalities,country_name
9,2019-05,0,Eswatini
10,2019-06,0,Eswatini
11,2019-07,0,Eswatini
12,2019-08,0,Eswatini
13,2019-09,0,Eswatini
14,2019-10,12,Eswatini
15,2019-11,0,Eswatini
16,2019-12,24,Eswatini
17,2020-02,0,Eswatini
18,2020-03,0,Eswatini
19,2020-04,0,Eswatini
20,2020-05,0,Eswatini
21,2020-06,0,Eswatini
22,2020-07,0,Eswatini
23,2020-08,12,Eswatini
24,2020-09,24,Eswatini
25,2020-10,0,Eswatini
26,2020-11,0,Eswatini
27,2020-12,36,Eswatini
28,2021-01,24,Eswatini
29,2021-02,0,Eswatini
30,2021-03,0,Eswatini
31,2021-04,0,Eswatini
32,2021-05,0,Eswatini
33,2021-06,216,Eswatini
34,2021-07,36,Eswatini
35,2021-08,168,Eswatini
36,2021-09,0,Eswatini
37,2021-10,84,Eswatini
38,2021-11,0,Eswatini
39,2021-12,24,Eswatini
40,2022-01,0,Eswatini
41,2022-02,72,Eswatini
42,2022-03,0,Eswatini
43,2022-04,0,Eswatini
44,2022-05,0,Eswatini
45,2022-06,24,Eswatini
46,2022-07,84,Eswatini
47,2022-08,72,Eswatini
48,2022-09,0,Eswatini
49,2022-10,12,Eswatini
50,2022-11,108,Eswatini
51,2022-12,24,Eswatini
52,2023-01,144,Eswatini
53,2023-02,48,Eswatini
54,2023-03,24,Eswatini
55,2023-04,24,Eswatini
56,2023-05,24,Eswatini
57,2023-06,12,Eswatini
58,2023-07,12,Eswatini
59,2023-08,0,Eswatini
60,2023-09,36,Eswatini
61,2023-10,36,Eswatini
62,2023-11,24,Eswatini
0,2017-01,1932,Ethiopia
1,2017-02,1476,Ethiopia
2,2017-03,1404,Ethiopia
3,2017-04,588,Ethiopia
4,2017-05,720,Ethiopia
5,2017-06,300,Ethiopia
6,2017-07,612,Ethiopia
7,2017-08,564,Ethiopia
8,2017-09,3408,Ethiopia
9,2017-10,1356,Ethiopia
10,2017-11,2052,Ethiopia
11,2017-12,1848,Ethiopia
12,2018-01,1608,Ethiopia
13,2018-02,564,Ethiopia
14,2018-03,1368,Ethiopia
15,2018-04,1080,Ethiopia
16,2018-05,900,Ethiopia
17,2018-06,3240,Ethiopia
18,2018-07,1584,Ethiopia
19,2018-08,2040,Ethiopia
20,2018-09,1836,Ethiopia
21,2018-10,1536,Ethiopia
22,2018-11,744,Ethiopia
23,2018-12,2448,Ethiopia
24,2019-01,984,Ethiopia
25,2019-02,228,Ethiopia
26,2019-03,216,Ethiopia
27,2019-04,564,Ethiopia
28,2019-05,1176,Ethiopia
29,2019-06,840,Ethiopia
30,2019-07,804,Ethiopia
31,2019-08,324,Ethiopia
32,2019-09,696,Ethiopia
33,2019-10,1776,Ethiopia
34,2019-11,216,Ethiopia
35,2019-12,216,Ethiopia
36,2020-01,456,Ethiopia
37,2020-02,480,Ethiopia
38,2020-03,480,Ethiopia
39,2020-04,192,Ethiopia
40,2020-05,876,Ethiopia
41,2020-06,684,Ethiopia
42,2020-07,2160,Ethiopia
43,2020-08,1140,Ethiopia
44,2020-09,648,Ethiopia
45,2020-10,1368,Ethiopia
46,2020-11,31812,Ethiopia
47,2020-12,12180,Ethiopia
48,2021-01,5916,Ethiopia
49,2021-02,4872,Ethiopia
50,2021-03,6444,Ethiopia
51,2021-04,7248,Ethiopia
52,2021-05,5508,Ethiopia
53,2021-06,7236,Ethiopia
54,2021-07,9312,Ethiopia
55,2021-08,22344,Ethiopia
56,2021-09,11724,Ethiopia
57,2021-10,4572,Ethiopia
58,2021-11,11196,Ethiopia
59,2021-12,13452,Ethiopia
60,2022-01,4920,Ethiopia
61,2022-02,3912,Ethiopia
62,2022-03,4164,Ethiopia
63,2022-04,4824,Ethiopia
64,2022-05,5460,Ethiopia
65,2022-06,13572,Ethiopia
66,2022-07,13356,Ethiopia
67,2022-08,6876,Ethiopia
68,2022-09,9192,Ethiopia
69,2022-10,7020,Ethiopia
70,2022-11,6096,Ethiopia
71,2022-12,3660,Ethiopia
72,2023-01,2748,Ethiopia
73,2023-02,2376,Ethiopia
74,2023-03,1140,Ethiopia
75,2023-04,984,Ethiopia
76,2023-05,3228,Ethiopia
77,2023-06,2868,Ethiopia
78,2023-07,4032,Ethiopia
79,2023-08,6660,Ethiopia
80,2023-09,5988,Ethiopia
81,2023-10,7296,Ethiopia
82,2023-11,6108,Ethiopia
83,2023-12,4728,Ethiopia
0,2018-01,996,Guatemala
1,2018-02,744,Guatemala
2,2018-03,696,Guatemala
3,2018-04,864,Guatemala
4,2018-05,876,Guatemala
5,2018-06,732,Guatemala
6,2018-07,984,Guatemala
7,2018-08,1080,Guatemala
8,2018-09,960,Guatemala
9,2018-10,552,Guatemala
10,2018-11,468,Guatemala
11,2018-12,636,Guatemala
12,2019-01,1032,Guatemala
13,2019-02,780,Guatemala
14,2019-03,1092,Guatemala
15,2019-04,1104,Guatemala
16,2019-05,1440,Guatemala
17,2019-06,1320,Guatemala
18,2019-07,1692,Guatemala
19,2019-08,1284,Guatemala
20,2019-09,1020,Guatemala
21,2019-10,960,Guatemala
22,2019-11,864,Guatemala
23,2019-12,768,Guatemala
